source_deposit,LABEL,LONGITUDE,LATITUDE,PROVINCEID
,0,135.98325148553806,-22.73048657226793,GA.GeologicProvince.364771
Gemini,1,148.0467474832026,-33.37713075202089,
,0,127.96093549037104,-22.08029525626344,GA.GeologicProvince.364771
,0,136.37049793251455,-19.40620793827009,GA.GeologicProvince.468265
,0,143.37538836052724,-24.577426490304912,GA.GeologicProvince.20489
Cargo,1,148.80378716614507,-33.41942511498326,
,0,132.43458452443798,-20.59609001418289,GA.GeologicProvince.468041
,0,143.24623287070335,-29.119507343628985,GA.GeologicProvince.529302
,0,145.3788612707328,-26.231014224717303,GA.GeologicProvince.22077
Monza,1,147.36384339686086,-34.2421776981836,
,0,143.49535287829892,-28.46402188995155,GA.GeologicProvince.529302
,0,129.4262419445685,-23.657231156493573,GA.GeologicProvince.466901
,0,127.38745649495311,-25.94868839513236,GA.GeologicProvince.466901
,0,135.13667701169868,-18.500770425402774,GA.GeologicProvince.468043
,0,120.91102136355327,-20.17776266216537,GA.GeologicProvince.466191
Brazen,1,148.02026530119397,-32.92432387362264,
,0,128.7637314237613,-27.6856731848458,GA.GeologicProvince.468269
,0,137.95260165175412,-24.0106377886889,GA.GeologicProvince.364771
,0,130.51581832063158,-16.158179636036543,GA.GeologicProvince.468269
,0,131.1112936532074,-31.300187505303622,GA.GeologicProvince.22115
,0,129.58668314007977,-18.47763077348359,GA.GeologicProvince.575978
,0,143.0510387329694,-29.982116758393303,GA.GeologicProvince.529302
,0,144.8676020369357,-33.884586164923206,GA.GeologicProvince.559207
Mt. Poole,1,152.37105634872148,-29.86461990434175,
,0,126.53347862948532,-23.22783700394203,GA.GeologicProvince.468269
,0,136.24522553433184,-18.72874571356509,GA.GeologicProvince.529556
Whitewash,1,150.9038251716311,-24.80937079838023,
,0,144.0659351381171,-34.7527433716015,GA.GeologicProvince.559207
,0,124.15852415070252,-25.59285367552295,GA.GeologicProvince.468269
,0,143.17718362412202,-20.360840327349543,GA.GeologicProvince.550790
,0,127.8821712107002,-22.185809369904337,GA.GeologicProvince.364771
,0,140.8419229184938,-25.11423853793172,GA.GeologicProvince.529551
,0,135.13139994884935,-22.985544946003465,GA.GeologicProvince.512258
,0,149.11236116999402,-28.67536856668032,GA.GeologicProvince.27354
Sunday Creek,1,148.48947770144252,-37.501216299653166,
Monza,1,147.43296520007885,-34.218934481831575,
,0,139.52550371479387,-26.725357327740443,GA.GeologicProvince.529801
,0,127.84905586854804,-22.63673213997646,GA.GeologicProvince.22078
,0,132.14959261622352,-24.34452807648619,GA.GeologicProvince.364772
,0,132.34569437988364,-23.707642522581075,GA.GeologicProvince.466901
,0,130.80915587761143,-19.907225310381172,GA.GeologicProvince.467226
Beaks Mountain,1,147.58112421893244,-19.968254388724723,
Woolshed,1,147.44223594002702,-34.30649297246032,
Coalstoun,1,151.87382535095455,-25.634729407146683,
Estoril,1,147.41326859959102,-34.24064812527004,
,0,129.54768396482137,-24.14262638880613,GA.GeologicProvince.22078
,0,144.65913473245402,-24.09993556327749,GA.GeologicProvince.529302
,0,132.6423935952902,-21.759270030177596,GA.GeologicProvince.467256
,0,134.67686497055428,-24.90647779664757,GA.GeologicProvince.22078
Eurowie,1,147.46604745918296,-33.865288998268625,
,0,138.94059775602852,-26.719150168993373,GA.GeologicProvince.20489
,0,125.86618362812084,-26.41114131527842,GA.GeologicProvince.466901
,0,140.68138217249663,-28.283621052372947,GA.GeologicProvince.529302
,0,130.66528778325537,-19.40398137258713,GA.GeologicProvince.22109
